FILENAME	high-conf(ACTG)	perc	low-conf(actg)	perc	fail(N)	perc	insertions(-)	perc	no coverage(.)	perc	total
homo_sapiens_ancestor_GL000193.1.fa	12465	6.57%	62862	33.12%	2624	1.38%	22	0.01%	111816	58.92%	189789
homo_sapiens_ancestor_GL000194.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	191469	100.00%	191469
homo_sapiens_ancestor_GL000195.1.fa	67746	37.04%	60337	32.99%	704	0.38%	35908	19.63%	18201	9.95%	182896
homo_sapiens_ancestor_GL000196.1.fa	13917	35.76%	70	0.18%	0	0.00%	1	0.00%	24926	64.05%	38914
homo_sapiens_ancestor_GL000197.1.fa	10066	27.08%	73	0.20%	0	0.00%	1	0.00%	27035	72.72%	37175
homo_sapiens_ancestor_GL000198.1.fa	0	0.00%	9708	10.78%	437	0.49%	167	0.19%	79773	88.55%	90085
homo_sapiens_ancestor_GL000199.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	169874	100.00%	169874
homo_sapiens_ancestor_GL000200.1.fa	82700	44.22%	543	0.29%	0	0.00%	2	0.00%	103790	55.49%	187035
homo_sapiens_ancestor_GL000201.1.fa	29284	81.01%	236	0.65%	0	0.00%	4	0.01%	6624	18.32%	36148
homo_sapiens_ancestor_GL000202.1.fa	20176	50.31%	3897	9.72%	50	0.12%	857	2.14%	15123	37.71%	40103
homo_sapiens_ancestor_GL000203.1.fa	16927	45.14%	641	1.71%	1	0.00%	0	0.00%	19929	53.15%	37498
homo_sapiens_ancestor_GL000204.1.fa	63964	78.67%	3010	3.70%	72	0.09%	419	0.52%	13845	17.03%	81310
homo_sapiens_ancestor_GL000205.1.fa	0	0.00%	11497	6.59%	196	0.11%	49	0.03%	162846	93.27%	174588
homo_sapiens_ancestor_GL000206.1.fa	31515	76.86%	2655	6.48%	0	0.00%	459	1.12%	6372	15.54%	41001
homo_sapiens_ancestor_GL000207.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	4262	100.00%	4262
homo_sapiens_ancestor_GL000208.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	92689	100.00%	92689
homo_sapiens_ancestor_GL000209.1.fa	0	0.00%	41689	26.19%	674	0.42%	0	0.00%	116806	73.38%	159169
homo_sapiens_ancestor_GL000210.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	27682	100.00%	27682
homo_sapiens_ancestor_GL000211.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	166566	100.00%	166566
homo_sapiens_ancestor_GL000212.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	186858	100.00%	186858
homo_sapiens_ancestor_GL000213.1.fa	83349	50.75%	782	0.48%	1	0.00%	18	0.01%	80089	48.76%	164239
homo_sapiens_ancestor_GL000214.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	137718	100.00%	137718
homo_sapiens_ancestor_GL000215.1.fa	165934	96.17%	2414	1.40%	2	0.00%	134	0.08%	4061	2.35%	172545
homo_sapiens_ancestor_GL000216.1.fa	24270	14.09%	427	0.25%	5	0.00%	69	0.04%	147523	85.62%	172294
homo_sapiens_ancestor_GL000217.1.fa	38970	22.64%	374	0.22%	1	0.00%	3	0.00%	132801	77.14%	172149
homo_sapiens_ancestor_GL000218.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	161147	100.00%	161147
homo_sapiens_ancestor_GL000219.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	179198	100.00%	179198
homo_sapiens_ancestor_GL000220.1.fa	0	0.00%	1522	0.94%	9766	6.04%	27422	16.95%	123092	76.08%	161802
homo_sapiens_ancestor_GL000221.1.fa	24722	15.91%	1286	0.83%	0	0.00%	28	0.02%	129361	83.25%	155397
homo_sapiens_ancestor_GL000222.1.fa	0	0.00%	146069	78.17%	1697	0.91%	0	0.00%	39095	20.92%	186861
homo_sapiens_ancestor_GL000223.1.fa	117767	65.26%	3028	1.68%	0	0.00%	115	0.06%	59545	33.00%	180455
homo_sapiens_ancestor_GL000224.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	179693	100.00%	179693
homo_sapiens_ancestor_GL000225.1.fa	14285	6.76%	261	0.12%	0	0.00%	8	0.00%	196619	93.11%	211173
homo_sapiens_ancestor_GL000226.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	15008	100.00%	15008
homo_sapiens_ancestor_GL000227.1.fa	43839	34.15%	74126	57.74%	725	0.56%	7	0.01%	9677	7.54%	128374
homo_sapiens_ancestor_GL000228.1.fa	10342	8.01%	3013	2.33%	85	0.07%	1576	1.22%	114104	88.37%	129120
homo_sapiens_ancestor_GL000229.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	19913	100.00%	19913
homo_sapiens_ancestor_GL000230.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	43691	100.00%	43691
homo_sapiens_ancestor_GL000231.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	27386	100.00%	27386
homo_sapiens_ancestor_GL000232.1.fa	0	0.00%	20193	49.67%	0	0.00%	2620	6.44%	17839	43.88%	40652
homo_sapiens_ancestor_GL000233.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	45941	100.00%	45941
homo_sapiens_ancestor_GL000234.1.fa	0	0.00%	18982	46.83%	1317	3.25%	0	0.00%	20232	49.92%	40531
homo_sapiens_ancestor_GL000235.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	34474	100.00%	34474
homo_sapiens_ancestor_GL000236.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	41934	100.00%	41934
homo_sapiens_ancestor_GL000237.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	45867	100.00%	45867
homo_sapiens_ancestor_GL000238.1.fa	11806	29.56%	23542	58.94%	45	0.11%	162	0.41%	4384	10.98%	39939
homo_sapiens_ancestor_GL000239.1.fa	29117	86.08%	3910	11.56%	326	0.96%	22	0.07%	449	1.33%	33824
homo_sapiens_ancestor_GL000240.1.fa	16654	39.72%	6993	16.68%	0	0.00%	1813	4.32%	16473	39.28%	41933
homo_sapiens_ancestor_GL000241.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	42152	100.00%	42152
homo_sapiens_ancestor_GL000242.1.fa	26859	61.71%	221	0.51%	0	0.00%	57	0.13%	16386	37.65%	43523
homo_sapiens_ancestor_GL000243.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	43341	100.00%	43341
homo_sapiens_ancestor_GL000244.1.fa	12450	31.18%	104	0.26%	0	0.00%	1	0.00%	27374	68.56%	39929
homo_sapiens_ancestor_GL000245.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	36651	100.00%	36651
homo_sapiens_ancestor_GL000246.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	38154	100.00%	38154
homo_sapiens_ancestor_GL000247.1.fa	0	0.00%	0	0.00%	0	0.00%	0	0.00%	36422	100.00%	36422
homo_sapiens_ancestor_GL000248.1.fa	26726	67.17%	446	1.12%	0	0.00%	15	0.04%	12599	31.67%	39786
homo_sapiens_ancestor_GL000249.1.fa	36741	95.43%	355	0.92%	0	0.00%	3	0.01%	1403	3.64%	38502
homo_sapiens_ancestor_MT.fa	14937	90.15%	1044	6.30%	9	0.05%	579	3.49%	0	0.00%	16569
homo_sapiens_ancestor_X.fa	122271706	78.75%	19165399	12.34%	1123079	0.72%	2958151	1.91%	9752225	6.28%	155270560
homo_sapiens_ancestor_Y.fa	7733371	13.02%	9885102	16.65%	643669	1.08%	560242	0.94%	40551182	68.30%	59373566
